postal_code_searched,name,address,lat,lng
67118,7-Eleven,"Av. Guadalajara 201, Josefa Zozaya, 67113 Guadalupe, N.L., Mexico",25.7274819,-100.1904401
67118,7-Eleven,"Av. Félix Galván 1324-Ote, Hacienda los Morales 3er Sector, 66495 San Nicolás de los Garza, N.L., Mexico",25.7186927,-100.2364672
67118,7-Eleven,"Gral. Plutarco Elías Calles 3034, Riberas del Río, 67160 Guadalupe, N.L., Mexico",25.6842473,-100.2247613
67118,7-Eleven,"Benito Juárez 951, Sin Nombre de Col 31, 67150 Guadalupe, N.L., Mexico",25.6796759,-100.2449662
67118,7-Eleven,"Av. las Américas Nte. 301, León XIII, 67120 Guadalupe, N.L., Mexico",25.7017921,-100.2464592
67118,7-Eleven,"Vivienda Popular. Av. Benito Juarez Sin Numero, 64000 Guadalupe, N.L., Mexico",25.677296,-100.230639
67118,7-Eleven,"Las Sabinas, Boulevard Miguel De La Madrid Km. 8, Sin Numero, 67130 Guadalupe, N.L., Mexico",25.691551,-100.194669
67118,7-Eleven,"Av. Orquídea 102, Vitrales, 66354 Guadalupe, N.L., Mexico",25.7089412,-100.1626882
67118,7-Eleven,"Fracc. La Fé. Ave. Miguel Alemán, Blvd. Acapulco 330 Esq, 67113 San Nicolás de los Garza, N.L., Mexico",25.723719,-100.213836
67118,7-Eleven,"Trabajadores Cetemistas 601, Parque la Talaverna, 66743 San Nicolás de los Garza, N.L., Mexico",25.7117081,-100.2278254
67118,7-Eleven,"S. Miguel 700, Rincón de San Miguel, 66648 Cdad. Apodaca, N.L., Mexico",25.7222048,-100.1671962
67118,7-Eleven,"La Fe, Av. Rómulo Garza Int. Local H10, Sin Nombre de Col 34, 66260 San Nicolás de los Garza, N.L., Mexico",25.726021,-100.214552
67118,7-Eleven,"Av. Los Pinos 134, Industrias del Vidrio Oriente, 66490 San Nicolás de los Garza, N.L., Mexico",25.7281816,-100.2382647
67118,7-Eleven,"Av. Miguel Alemán 501, Lolita, 67130 Guadalupe, N.L., Mexico",25.6913751,-100.2496082
67118,7-Eleven,"Vista Regia 546, Linda Vista, 67123 Guadalupe, N.L., Mexico",25.6918993,-100.2616026
67118,7-Eleven,"No1701, P.º de las Américas Supermanzana Sector, Contry Sol 5o Sector, 67174 Monterrey, N.L., Mexico",25.6585653,-100.2606444
66634,7-Eleven,"Av. Concordia, Av. Carlos Salinas de Gortari s/n, esq, 66600 Cdad. Apodaca, N.L., Mexico",25.768555,-100.198353
66634,7-Eleven,"Lat. Miguel Aleman Esquina, Sin Nombre de Col 30, 66600 Cdad. Apodaca, N.L., Mexico",25.775389,-100.185922
66634,7-Eleven,"Av. Concordia 3645, Moderno Apodaca II, 66600 Cdad. Apodaca, N.L., Mexico",25.7735309,-100.2012476
66634,7-Eleven,"Av. Miguel Alemán 1000, El Milagro, 66600 Cdad. Apodaca, N.L., Mexico",25.7526371,-100.1986634
66634,7-Eleven,"Del Chopo 601, Los Fresnos Nte., 66612 Cdad. Apodaca, N.L., Mexico",25.7693935,-100.2452256
66634,7-Eleven,"JAL, GUADALAJARA. Colonia: Coronel, Alfonso Calderón # 507, El Retiro, 64639 Cdad. Apodaca, N.L., Mexico",25.7687286,-100.2088439
66634,7-Eleven,"Av. Aceros 801, Jardines del Mezquital, 66445 San Nicolás de los Garza, N.L., Mexico",25.7493484,-100.2402244
66634,7-Eleven,"COL. VILLA DE LOS AYALA, NL, ESCOBEDO, AVE ACUEDUCTO 99, 66633 Cdad. Apodaca, N.L., Mexico",25.791603,-100.23488
66634,7-Eleven,"Río Pilón 612, Pueblo Nuevo V, 66646 Cdad. Apodaca, N.L., Mexico",25.7596641,-100.1656643
66634,7-Eleven,"José María Morelos y Pavón 387, Cabecera Municipal (Apodaca), Apodaca Centro, 66600 Cdad. Apodaca, N.L., Mexico",25.7821814,-100.1882631
66634,7-Eleven,"Paseo Virrey de Velasco, Av. Paseo Rcda. Colonial # 100, Rinconada Colonial de Apodaca, 66606 Cdad. Apodaca, N.L., Mexico",25.795531,-100.199517
66634,7-Eleven,"Blvd. Carlos Salinas de Gortari 651-B, 66630 Cdad. Apodaca, N.L., Mexico",25.7446944,-100.2315829
66634,7-Eleven,"Av. Chopo 2110, 66609 Cdad. Apodaca, N.L., Mexico",25.777244,-100.221989
66634,7-Eleven,"Gral. Mariano Escobedo 101, Cabecera Municipal (Apodaca), Apodaca Centro, 66600 Cdad. Apodaca, N.L., Mexico",25.776407,-100.186836
